TF	TFSymbol	TFGroup	Target	TargetSymbol	TargetGroup	Correlation
ENSG00000066422	ZBTB11	1	ENSG00000096654	ZNF184	2	0.690238992652277
ENSG00000066422	ZBTB11	1	ENSG00000127922	SHFM1	3	-0.648121547530825
ENSG00000066422	ZBTB11	1	ENSG00000185787	MORF4L1	3	-0.642284393417329
ENSG00000070061	IKBKAP	1	ENSG00000005302	MSL3	2	0.624717147344584
ENSG00000070061	IKBKAP	1	ENSG00000064042	LIMCH1	2	0.687580519153124
ENSG00000070061	IKBKAP	1	ENSG00000102572	STK24	2	0.681149550150893
ENSG00000070061	IKBKAP	1	ENSG00000124535	WRNIP1	2	0.629446621828387
ENSG00000070061	IKBKAP	1	ENSG00000135919	SERPINE2	2	0.737839734469543
ENSG00000070061	IKBKAP	1	ENSG00000137166	FOXP4	2	0.602865425876913
ENSG00000070061	IKBKAP	1	ENSG00000137265	IRF4	2	0.699174447438311
ENSG00000070061	IKBKAP	1	ENSG00000151914	DST	2	0.606917911434403
ENSG00000070061	IKBKAP	1	ENSG00000154874	CCDC144B	2	0.602614841595583
ENSG00000070061	IKBKAP	1	ENSG00000165194	PCDH19	2	0.709295499628593
ENSG00000070061	IKBKAP	1	ENSG00000168538	TRAPPC11	2	0.617660317509935
ENSG00000070061	IKBKAP	1	ENSG00000169679	BUB1	2	0.619402305894237
ENSG00000070061	IKBKAP	1	ENSG00000169926	KLF13	2	0.615899891144776
ENSG00000070061	IKBKAP	1	ENSG00000181315	ZNF322	2	0.610357836271515
ENSG00000070061	IKBKAP	1	ENSG00000197037	ZSCAN25	2	0.600793885448306
ENSG00000070061	IKBKAP	1	ENSG00000206557	TRIM71	2	0.621112607603905
ENSG00000070061	IKBKAP	1	ENSG00000080824	HSP90AA1	3	-0.608252331058412
ENSG00000070061	IKBKAP	1	ENSG00000084234	APLP2	3	-0.607149054076171
ENSG00000070061	IKBKAP	1	ENSG00000127922	SHFM1	3	-0.658944486912263
ENSG00000070061	IKBKAP	1	ENSG00000148200	NR6A1	3	-0.633014624852486
ENSG00000070061	IKBKAP	1	ENSG00000156414	TDRD9	3	-0.605279655964458
ENSG00000070061	IKBKAP	1	ENSG00000171530	TBCA	3	-0.606883499663798
ENSG00000070061	IKBKAP	1	ENSG00000185787	MORF4L1	3	-0.679478398217312
ENSG00000071564	TCF3	1	ENSG00000005302	MSL3	2	0.67794981435732
ENSG00000071564	TCF3	1	ENSG00000102038	SMARCA1	2	0.645682883638307
ENSG00000071564	TCF3	1	ENSG00000107562	CXCL12	2	0.649751736448694
ENSG00000071564	TCF3	1	ENSG00000110799	VWF	2	0.63778220090711
ENSG00000071564	TCF3	1	ENSG00000135919	SERPINE2	2	0.690130598117465
ENSG00000071564	TCF3	1	ENSG00000137166	FOXP4	2	0.60062375443206
ENSG00000071564	TCF3	1	ENSG00000144749	LRIG1	2	0.604097954479958
ENSG00000071564	TCF3	1	ENSG00000148143	ZNF462	2	0.635545331613519
ENSG00000071564	TCF3	1	ENSG00000150347	ARID5B	2	0.668158169420685
ENSG00000071564	TCF3	1	ENSG00000153721	CNKSR3	2	0.606177974928837
ENSG00000071564	TCF3	1	ENSG00000159217	IGF2BP1	2	0.623800357793145
ENSG00000071564	TCF3	1	ENSG00000168646	AXIN2	2	0.770752701627553
ENSG00000071564	TCF3	1	ENSG00000168769	TET2	2	0.621869416297814
ENSG00000071564	TCF3	1	ENSG00000170571	EMB	2	0.615346165744141
ENSG00000071564	TCF3	1	ENSG00000181315	ZNF322	2	0.620871516567695
ENSG00000071564	TCF3	1	ENSG00000253799	LINC01030	2	0.634028692116218
ENSG00000071564	TCF3	1	ENSG00000143742	SRP9	3	-0.631088457097648
ENSG00000071564	TCF3	1	ENSG00000154723	ATP5J	3	-0.645218701212342
ENSG00000071564	TCF3	1	ENSG00000167283	ATP5L	3	-0.605428635734568
ENSG00000071564	TCF3	1	ENSG00000189043	NDUFA4	3	-0.675570604925757
ENSG00000082258	CCNT2	1	ENSG00000139370	SLC15A4	2	0.626329607968874
ENSG00000082258	CCNT2	1	ENSG00000144749	LRIG1	2	0.610723612356789
ENSG00000082258	CCNT2	1	ENSG00000147687	TATDN1	2	0.60651469844659
ENSG00000084093	REST	1	ENSG00000182985	CADM1	4	-0.626264792371828
ENSG00000085274	MYNN	1	ENSG00000119812	FAM98A	1	0.618749380411457
ENSG00000085274	MYNN	1	ENSG00000131459	GFPT2	2	0.781538310871526
ENSG00000085644	ZNF213	1	ENSG00000134909	ARHGAP32	2	0.684847531449009
ENSG00000085644	ZNF213	1	ENSG00000143013	LMO4	2	0.602607403961495
ENSG00000101115	SALL4	1	ENSG00000005302	MSL3	2	0.612175630673948
ENSG00000101115	SALL4	1	ENSG00000135912	TTLL4	2	0.781960927915811
ENSG00000101115	SALL4	1	ENSG00000135919	SERPINE2	2	0.688554886796687
ENSG00000101115	SALL4	1	ENSG00000137265	IRF4	2	0.660386959112194
ENSG00000101115	SALL4	1	ENSG00000158186	MRAS	2	0.648861532583419
ENSG00000101115	SALL4	1	ENSG00000165194	PCDH19	2	0.605212108098184
ENSG00000101115	SALL4	1	ENSG00000169926	KLF13	2	0.629361140627241
ENSG00000101115	SALL4	1	ENSG00000084234	APLP2	3	-0.621507585805887
ENSG00000120837	NFYB	1	ENSG00000102606	ARHGEF7	2	0.635949256601967
ENSG00000126003	PLAGL2	1	ENSG00000121570	DPPA4	1	0.653410388686586
ENSG00000126003	PLAGL2	1	ENSG00000135083	CCNJL	1	0.612548220330069
ENSG00000126003	PLAGL2	1	ENSG00000139318	DUSP6	1	0.696112071861562
ENSG00000126003	PLAGL2	1	ENSG00000147894	C9orf72	1	0.62479001733144
ENSG00000126003	PLAGL2	1	ENSG00000071575	TRIB2	2	0.602354817058438
ENSG00000126003	PLAGL2	1	ENSG00000115548	KDM3A	2	0.600937210901426
ENSG00000126003	PLAGL2	1	ENSG00000128656	CHN1	2	0.637539633818844
ENSG00000126003	PLAGL2	1	ENSG00000130147	SH3BP4	2	0.625090956358116
ENSG00000126003	PLAGL2	1	ENSG00000134686	PHC2	2	0.77959612697253
ENSG00000126003	PLAGL2	1	ENSG00000151914	DST	2	0.607239810515874
ENSG00000126003	PLAGL2	1	ENSG00000159217	IGF2BP1	2	0.615414285895098
ENSG00000126003	PLAGL2	1	ENSG00000165029	ABCA1	2	0.709886830160163
ENSG00000126003	PLAGL2	1	ENSG00000169679	BUB1	2	0.601515189576176
